"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
GO:0072395,GO:0072395,signal transduction involved in cell cycle checkpoint,26/591,74/18493,1.20E-20,4.66E-19,1.93E-19,ATM/BABAM2/BAX/BRCA1/CDC25C/CDK1/CDK2/CDKN1A/CHEK1/CHEK2/E2F1/GADD45A/MDM2/PCNA/PLK1/PML/PRKDC/TP53/CASP2/E2F4/EP300/GML/PIDD1/PRPF19/TNKS1BP1/UIMC1,26,
GO:1903706,GO:1903706,regulation of hemopoiesis,57/591,418/18493,1.21E-20,4.66E-19,1.93E-19,ABL1/ACE/BRAF/CASP8/CD2/CD4/CREB1/CSF2/CSF3/CTNNB1/EGR3/ERBB2/FANCD2/FOXP3/GABPA/GATA3/HIF1A/HIST1H3J/HIST4H4/IFNB1/IFNG/IL2/JUN/MAPK14/MTOR/MYC/NFKBIA/NOTCH2/PTK2B/PTPRC/RB1/RHOA/SOD1/STAT1/STAT3/TGFB1/TNF/ACIN1/ANXA1/EP300/FOS/FOXO3/HDAC1/HSPA9/IL4/IL5/IRF1/LYN/NFATC2/NLRP3/PRKCA/SHH/SOCS1/TLR4/TNFSF4/TNFSF9/TP73,57,
GO:0002700,GO:0002700,regulation of production of molecular mediator of immune response,33/591,133/18493,1.73E-20,6.60E-19,2.73E-19,ANGPT1/APLF/CD40/FOXP3/GATA3/HLA-E/HMOX1/IFNB1/IL1B/IL2/IL6/MAPK14/MLH1/MSH2/MSH6/PRKDC/PTPRC/RIF1/TGFB1/TNF/TP53BP1/ATG5/CD36/IL10/IL13/IL4/IL5/NLRP3/PAXIP1/TLR4/TNFSF4/TRAF2/UNG,33,
GO:0071219,GO:0071219,cellular response to molecule of bacterial origin,40/591,206/18493,2.29E-20,8.69E-19,3.60E-19,ABL1/AKT1/BCR/CASP1/CD40/CDK4/CSF2/CSF3/DAB2IP/ICAM1/IL1B/IL24/IL6/KLRK1/KLRC4-KLRK1/MAPK14/MAPK8/NFKB1/NFKBIA/NOS2/RHOA/SIRT2/SRC/TGFB1/TNF/TSPO/CD36/CXCL1/CXCL8/HSF1/IL10/IL36G/LYN/NLRP3/NOS3/PRKCA/PRKCE/SERPINE1/TLR4/TNFSF4,40,
GO:0032943,GO:0032943,mononuclear cell proliferation,45/591,266/18493,3.01E-20,1.13E-18,4.66E-19,ABL1/ACE/ATM/BAX/BCL2/CASP3/CD4/CD40/CTNNB1/ERBB2/FOXP3/HLA-E/HPRT1/IFNA13/IFNB1/IGF1/IL1B/IL2/IL6/PTPRC/TGFB1/AHR/ANXA1/CD24/FLT3/HSPD1/IL10/IL13/IL4/IL5/IRF1/LEP/LYN/MS4A1/NFATC2/P2RX7/PLA2G2D/RPS3/SHH/TBK1/TLR4/TNFSF4/TNFSF9/TWSG1/VCAM1,45,
GO:0042063,GO:0042063,gliogenesis,45/591,266/18493,3.01E-20,1.13E-18,4.66E-19,ABL1/AKT1/CDK1/CLU/CREB1/CTNNB1/DAB2IP/E2F1/EGFR/ERBB2/ERCC2/IL1B/IL6/ILK/KRAS/MTOR/PTEN/PTK2B/RHOA/SIRT2/SOD1/STAT3/TERT/TGFB1/TNF/TSPO/ANXA1/BMP2/CDH2/CDK5/ERBB3/GAP43/GFAP/HDAC1/LYN/MAP2K1/MT3/NTRK3/PPARG/PPP1CC/PRPF19/SHH/SOX2/TLR4/TP73,45,
GO:0046209,GO:0046209,nitric oxide metabolic process,26/591,77/18493,3.87E-20,1.44E-18,5.96E-19,AGT/AKT1/CAV1/CLU/HBB/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/MTOR/NOS2/NQO1/PTGS2/PTK2B/RAC1/TNF/TSPO/CD36/DNM2/IL10/NOS3/RGN/TLR4,26,
GO:0002696,GO:0002696,positive regulation of leukocyte activation,53/591,372/18493,3.95E-20,1.46E-18,6.04E-19,AKT1/BCL2/CAV1/CD2/CD4/CD40/EGR3/FOXP3/GATA3/HLA-E/IFNG/IGF1/IL1B/IL2/IL6/KLRK1/KLRC4-KLRK1/LCK/MLH1/MSH2/MSH6/PTPRC/RAC1/RHOA/RIF1/SRC/TGFB1/THY1/TP53BP1/ANXA1/CCR7/CD24/HSPD1/IL10/IL13/IL4/IL5/LEP/LGALS1/LYN/NFATC2/NLRP3/PAK1/PAK2/PAXIP1/RPS3/SHH/SOCS1/TLR4/TNFSF4/TNFSF9/UNG/VCAM1,53,
GO:0001101,GO:0001101,response to acid chemical,50/591,332/18493,4.19E-20,1.54E-18,6.36E-19,AKT1/ATF2/ATM/BCL2L1/CASP3/CAT/CDK4/CREB1/DHFR/E2F1/EGFR/EGR1/GCLC/ICAM1/KDR/LAMTOR5/MGMT/MMP2/MTOR/NQO1/OGG1/PCNA/PIK3C3/PTCH1/PTGS2/PTK2B/RET/RHOA/SRC/TNF/VEGFA/XRCC5/AKR1C3/CCR7/CD36/CLK2/DNMT1/DUSP1/HLCS/HSF1/LEP/LYN/NTRK3/P2RY6/PPARG/PRKCE/SESN2/SOCS1/TNC/TNFSF4,50,
GO:0071222,GO:0071222,cellular response to lipopolysaccharide,39/591,199/18493,4.90E-20,1.78E-18,7.39E-19,ABL1/AKT1/BCR/CASP1/CD40/CDK4/CSF2/CSF3/DAB2IP/ICAM1/IL1B/IL24/IL6/KLRK1/KLRC4-KLRK1/MAPK14/MAPK8/NFKB1/NFKBIA/NOS2/RHOA/SRC/TGFB1/TNF/TSPO/CD36/CXCL1/CXCL8/HSF1/IL10/IL36G/LYN/NLRP3/NOS3/PRKCA/PRKCE/SERPINE1/TLR4/TNFSF4,39,
GO:1903426,GO:1903426,regulation of reactive oxygen species biosynthetic process,28/591,94/18493,6.52E-20,2.36E-18,9.78E-19,AGT/AKT1/CAV1/CLU/HBB/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/COX2/MTOR/PTGS2/PTK2B/RAC1/RHOA/STAT3/TNF/TSPO/CD36/DNM2/FOXO3/HSPD1/IL10/RGN/TLR4,28,
GO:0033002,GO:0033002,muscle cell proliferation,42/591,236/18493,7.93E-20,2.85E-18,1.18E-18,AGT/AKT1/ANGPT1/CDK1/CDKN1A/CTNNB1/EGFR/EREG/HMOX1/IFNG/IGF1/IL6/ILK/JAK2/JUN/MAPK14/MDM2/MMP2/MMP9/MTOR/PRKDC/PTEN/PTGS2/SOD2/STAT1/STAT3/TERT/TNF/XRCC5/DNMT1/FGF2/FGF20/FGFR1/IL10/IL13/NOX1/P2RY6/PAK1/PPARG/SHH/TP73/XRCC6,42,
GO:0070372,GO:0070372,regulation of ERK1 and ERK2 cascade,49/591,324/18493,8.41E-20,3.00E-18,1.24E-18,ABL1/ANGPT1/ATF3/BRAF/CCL4/CD4/DAB2IP/EGFR/ERBB2/GCG/HRAS/ICAM1/IGF1R/IL1B/JUN/KDR/KIT/NOTCH2/PTEN/PTK2B/PTPRC/RET/ROS1/SRC/TGFB1/TNF/BMP2/CCL11/CCL8/CCR7/CD36/DUSP1/ERBB3/FGF2/FGF20/FGF4/FGFR1/FLT3/FN1/LYN/MAP2K1/MT3/NTRK3/P2RY6/PDGFA/PRKCA/RANBP9/TLR4/TNFRSF11A,49,
GO:1903039,GO:1903039,positive regulation of leukocyte cell-cell adhesion,40/591,214/18493,9.75E-20,3.46E-18,1.43E-18,AKT1/CAV1/CD4/EGR3/FOXP3/GATA3/HLA-E/ICAM1/IFNG/IGF1/IL1B/IL2/IL6/KLRK1/KLRC4-KLRK1/LCK/PTPRC/RAC1/RHOA/SRC/TGFB1/THY1/TNF/ANXA1/CCR7/CD24/HSPD1/IL4/LEP/LGALS1/LYN/NLRP3/PAK1/PAK2/RPS3/SHH/SOCS1/TNFSF4/TNFSF9/VCAM1,40,
GO:2001057,GO:2001057,reactive nitrogen species metabolic process,26/591,80/18493,1.17E-19,4.13E-18,1.71E-18,AGT/AKT1/CAV1/CLU/HBB/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/MTOR/NOS2/NQO1/PTGS2/PTK2B/RAC1/TNF/TSPO/CD36/DNM2/IL10/NOS3/RGN/TLR4,26,
GO:0022409,GO:0022409,positive regulation of cell-cell adhesion,43/591,251/18493,1.30E-19,4.54E-18,1.88E-18,AKT1/CAV1/CD4/EGR3/FOXP3/GATA3/HLA-E/ICAM1/IFNG/IGF1/IL1B/IL2/IL6/KLRK1/KLRC4-KLRK1/LCK/PTPRC/RAC1/RHOA/SRC/TGFB1/THY1/TNF/ANXA1/CCR7/CD24/HSPD1/IL10/IL4/ITGA6/LEP/LGALS1/LYN/NLRP3/PAK1/PAK2/RPS3/SHH/SOCS1/SOX2/TNFSF4/TNFSF9/VCAM1,43,
GO:0048511,GO:0048511,rhythmic process,45/591,276/18493,1.37E-19,4.77E-18,1.97E-18,CASP3/CDK4/CREB1/CSF2/EGFR/EGR1/EGR3/EREG/ESR1/GSK3B/JUN/MAPK8/MTA1/NOS2/PCNA/PER2/PML/PPARA/PRKDC/PTEN/RELB/SIRT1/SP1/SRC/TP53/AHR/BHLHE41/CASP2/CDK5/CSNK2A1/EP300/FOXO3/HDAC1/JUND/LEP/LHCGR/NFIL3/NOS3/NTRK3/PPARG/PPP1CC/SERPINE1/SUV39H1/TNFRSF11A/TOP1,45,
GO:0046651,GO:0046651,lymphocyte proliferation,44/591,264/18493,1.46E-19,5.06E-18,2.09E-18,ABL1/ATM/BAX/BCL2/CASP3/CD4/CD40/CTNNB1/ERBB2/FOXP3/HLA-E/HPRT1/IFNA13/IFNB1/IGF1/IL1B/IL2/IL6/PTPRC/TGFB1/AHR/ANXA1/CD24/FLT3/HSPD1/IL10/IL13/IL4/IL5/IRF1/LEP/LYN/MS4A1/NFATC2/P2RX7/PLA2G2D/RPS3/SHH/TBK1/TLR4/TNFSF4/TNFSF9/TWSG1/VCAM1,44,
GO:0051090,GO:0051090,regulation of DNA-binding transcription factor activity,55/591,412/18493,1.62E-19,5.58E-18,2.31E-18,AGT/AKT1/AR/ATF2/CAT/CD40/CLU/CSF3/CTNNB1/DAB2IP/ESR1/FANCD2/FOXP3/HMOX1/ICAM1/IKBKB/IL1B/IL6/JAK2/JUN/KIT/KRAS/NFKB1/NFKBIA/NPM1/PTCH1/PTEN/RB1/SIRT1/TGFB1/TNF/TP53BP1/VEGFA/CAMK2A/CD36/CDKN2A/EP300/FLNA/FOS/HIPK2/IL10/IL5/KEAP1/MEN1/NLRP3/PIAS4/PIDD1/PPARG/RPS3/SHH/TLR4/TNFRSF11A/TNFSF4/TRAF2/TRIM31,55,
GO:0048285,GO:0048285,organelle fission,58/591,458/18493,2.07E-19,7.07E-18,2.93E-18,APC/ATM/CCNA2/CCND1/CCNE1/CCNO/CDC25C/CHEK1/CHEK2/EGF/EREG/FANCD2/IGF1/IL1A/IL1B/KDR/MLH1/MRE11/PLK1/RAD1/RAD21/RAD50/RAD51/RAD51B/RAD51C/RB1/RHOA/RPA2/SIRT2/SMC1A/SMC2/SMC3/SPO11/TGFB1/ASPM/ATRX/BCCIP/CALR/CCNA1/CDC16/CDC25B/CDC6/CENPX/CHMP4C/DUSP1/FLNA/HSF1/HSPA2/MND1/MSH4/MSH5/NEK2/PTTG1/RAD51D/TGFA/TNKS/TPX2/XRCC3,58,
GO:0048145,GO:0048145,regulation of fibroblast proliferation,27/591,90/18493,2.45E-19,8.32E-18,3.45E-18,AGT/BAX/BMI1/CCNA2/CDK4/CDKN1A/CREB1/CTNNB1/DAB2IP/E2F1/EGFR/EREG/ESR1/IGF1/JUN/LIG4/MYC/PML/PRKDC/TGFB1/TP53/CDC6/FN1/IL13/PDGFA/PPARG/S100A6,27,
GO:0071156,GO:0071156,regulation of cell cycle arrest,29/591,107/18493,2.60E-19,8.77E-18,3.63E-18,ATM/BAX/BRCA1/CCND1/CDC25C/CDK1/CDK2/CDK4/CDKN1A/CHEK2/DAB2IP/E2F1/GADD45A/MDM2/PCNA/PML/SETMAR/TGFB1/TP53/CALR/CASP2/CDK5/E2F4/EP300/FOXM1/GML/PIDD1/TNKS1BP1/TP73,29,
GO:0002440,GO:0002440,production of molecular mediator of immune response,44/591,268/18493,2.67E-19,8.96E-18,3.71E-18,ANGPT1/APLF/CD40/ERCC1/EXO1/FOXP3/GATA3/HLA-E/HMOX1/IFNB1/IL1B/IL2/IL6/KIT/LIG4/MAPK14/MLH1/MSH2/MSH6/NBN/POLB/PRKDC/PTPRC/RIF1/RNF168/RNF8/SIRT1/TGFB1/TNF/TP53BP1/ATG5/CD36/HSPD1/IL10/IL13/IL4/IL5/NLRP3/PAXIP1/POLQ/TLR4/TNFSF4/TRAF2/UNG,44,
GO:0071375,GO:0071375,cellular response to peptide hormone stimulus,47/591,307/18493,2.94E-19,9.81E-18,4.06E-18,AGT/AKT1/APC/APEX1/APRT/CAV1/CCNA2/CDK4/CREB1/GCG/GCLC/IGF1R/IL1B/IRS1/JAK2/MDM2/NFKB1/PARP1/PKM/PRKDC/PTEN/PTK2/SIRT1/SP1/SRC/STAT1/STAT3/TGFB1/ANXA5/CAMK2A/CDC6/EIF4EBP1/FOXO3/GH2/HSF1/IGFBP1/LEP/LHCGR/LYN/MEN1/PAK1/PPARG/PPAT/PXN/SOCS1/SOCS3/WDTC1,47,
GO:0048144,GO:0048144,fibroblast proliferation,27/591,91/18493,3.38E-19,1.12E-17,4.64E-18,AGT/BAX/BMI1/CCNA2/CDK4/CDKN1A/CREB1/CTNNB1/DAB2IP/E2F1/EGFR/EREG/ESR1/IGF1/JUN/LIG4/MYC/PML/PRKDC/TGFB1/TP53/CDC6/FN1/IL13/PDGFA/PPARG/S100A6,27,
GO:0070374,GO:0070374,positive regulation of ERK1 and ERK2 cascade,42/591,245/18493,3.40E-19,1.12E-17,4.64E-18,ABL1/ANGPT1/BRAF/CCL4/CD4/EGFR/ERBB2/GCG/HRAS/ICAM1/IGF1R/JUN/KDR/KIT/NOTCH2/PTEN/PTK2B/PTPRC/RET/ROS1/SRC/TGFB1/TNF/BMP2/CCL11/CCL8/CCR7/CD36/ERBB3/FGF2/FGF20/FGF4/FGFR1/FLT3/MAP2K1/MT3/NTRK3/P2RY6/PDGFA/PRKCA/TLR4/TNFRSF11A,42,
GO:0014065,GO:0014065,phosphatidylinositol 3-kinase signaling,32/591,136/18493,3.71E-19,1.22E-17,5.03E-18,AGT/AKT1/ANGPT1/CAT/CSF3/DAB2IP/EGFR/ERBB2/GATA3/HGF/IGF1/IGF1R/IRS1/JAK2/KDR/KIT/PTEN/PTK2/SIRT1/SIRT2/SRC/TNF/ERBB3/FGFR1/FLT3/IER3/LEP/NTRK3/PDGFA/PIK3CB/PTPN13/SELP,32,
GO:0008625,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,26/591,84/18493,4.73E-19,1.54E-17,6.37E-18,ATF3/BAX/BCL2/BCL2L1/BRCA1/CASP8/DAB2IP/FAS/FASLG/GPX1/HGF/HMOX1/ICAM1/PTEN/RAF1/TNF/CASP8AP2/DAXX/DIABLO/NOS3/PIDD1/SERPINE1/TNFRSF10A/TNFRSF10C/TNFRSF1A/TRAF2,26,
GO:0045428,GO:0045428,regulation of nitric oxide biosynthetic process,23/591,62/18493,4.92E-19,1.59E-17,6.59E-18,AGT/AKT1/CAV1/CLU/HBB/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/MTOR/PTGS2/PTK2B/RAC1/TNF/TSPO/CD36/DNM2/IL10/RGN/TLR4,23,
GO:0050870,GO:0050870,positive regulation of T cell activation,38/591,202/18493,6.56E-19,2.11E-17,8.73E-18,AKT1/CAV1/CD4/EGR3/FOXP3/GATA3/HLA-E/IFNG/IGF1/IL1B/IL2/IL6/KLRK1/KLRC4-KLRK1/LCK/PTPRC/RAC1/RHOA/SRC/TGFB1/THY1/ANXA1/CCR7/CD24/HSPD1/IL4/LEP/LGALS1/LYN/NLRP3/PAK1/PAK2/RPS3/SHH/SOCS1/TNFSF4/TNFSF9/VCAM1,38,
GO:0046425,GO:0046425,regulation of JAK-STAT cascade,31/591,129/18493,6.95E-19,2.22E-17,9.20E-18,AGT/CAV1/CD40/CSF2/EGF/IFNA13/IFNB1/IFNG/IGF1/IL2/IL24/IL3/IL6/JAK2/KIT/PTK2B/PTPRC/RET/STAT3/CDK5/FLT3/GH2/HSF1/IL13/IL4/IL5/LEP/LYN/SOCS1/SOCS3/TNFRSF1A,31,
GO:0002637,GO:0002637,regulation of immunoglobulin production,23/591,63/18493,7.52E-19,2.39E-17,9.90E-18,APLF/CD40/FOXP3/HLA-E/IL2/IL6/MLH1/MSH2/MSH6/PRKDC/PTPRC/RIF1/TGFB1/TNF/TP53BP1/IL10/IL13/IL4/IL5/PAXIP1/TNFSF4/TRAF2/UNG,23,
GO:0071260,GO:0071260,cellular response to mechanical stimulus,25/591,78/18493,8.75E-19,2.76E-17,1.14E-17,AGT/AKT1/BAK1/CASP1/CASP8/CD40/CHEK1/EGFR/FAS/GADD45A/GCLC/IL1B/MAPK8/NFKB1/PTGS2/RAC1/TGFB1/CASP2/CASP8AP2/IL13/IRF1/TLR4/TLR5/TNFRSF10A/TNFRSF1A,25,
GO:2001237,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,28/591,104/18493,1.32E-18,4.15E-17,1.72E-17,AKT1/AR/BCL2/BCL2L1/BRCA1/CASP8/CSF2/FAS/FASLG/GCLC/GDNF/GPX1/HGF/HMOX1/ICAM1/IGF1/IL1A/IL1B/MCL1/RAF1/SRC/TERT/TNF/ITGA6/NOS3/SERPINE1/TNFRSF10A/TRAF2,28,
GO:1904892,GO:1904892,regulation of STAT cascade,31/591,133/18493,1.81E-18,5.64E-17,2.34E-17,AGT/CAV1/CD40/CSF2/EGF/IFNA13/IFNB1/IFNG/IGF1/IL2/IL24/IL3/IL6/JAK2/KIT/PTK2B/PTPRC/RET/STAT3/CDK5/FLT3/GH2/HSF1/IL13/IL4/IL5/LEP/LYN/SOCS1/SOCS3/TNFRSF1A,31,
GO:0048015,GO:0048015,phosphatidylinositol-mediated signaling,34/591,164/18493,2.00E-18,6.22E-17,2.58E-17,AGT/AKT1/ANGPT1/CAT/CSF3/DAB2IP/EGFR/ERBB2/GATA3/HGF/IGF1/IGF1R/IRS1/JAK2/KDR/KIT/PIK3C3/PTEN/PTK2/RHOA/SIRT1/SIRT2/SRC/TNF/ERBB3/FGFR1/FLT3/IER3/LEP/NTRK3/PDGFA/PIK3CB/PTPN13/SELP,34,
GO:0006282,GO:0006282,regulation of DNA repair,29/591,115/18493,2.28E-18,7.04E-17,2.92E-17,BABAM2/BRCA1/CHEK1/EGFR/H2AFX/MGMT/OGG1/PARP1/PCNA/PML/RAD51/RAD52/RIF1/RNF168/RNF8/RPA2/SETD2/SETMAR/SIRT1/TP53BP1/XRCC1/FOXM1/HSF1/POLH/POLQ/RPS3/TIGAR/TRIM28/UIMC1,29,
GO:1901216,GO:1901216,positive regulation of neuron death,25/591,81/18493,2.46E-18,7.55E-17,3.13E-17,ABL1/ATF2/ATM/BAX/CASP3/CASP8/CASP9/CLU/CTNNB1/EGR1/FASLG/GSK3B/JUN/MCL1/MTOR/NQO1/PARP1/RHOA/CASP2/CDK5/DAXX/DDIT4/FOS/FOXO3/TLR4,25,
GO:0000086,GO:0000086,G2/M transition of mitotic cell cycle,37/591,199/18493,2.89E-18,8.81E-17,3.65E-17,ATM/BRCA1/CCNA2/CCND1/CDC25A/CDC25C/CDK1/CDK2/CDK4/CDKN1A/CHEK2/HSP90AA1/HUS1/MRE11/MSH6/NBN/PLK1/PPM1D/RAD17/RAD21/RAD51B/RAD51C/CDC25B/CDC6/CEP164/CETN2/CHMP4C/DNM2/FOXM1/HSPA2/KHDRBS1/NEK2/NES/RECQL4/TOPBP1/TPX2/WEE1,37,
GO:0031099,GO:0031099,regeneration,36/591,188/18493,3.06E-18,9.22E-17,3.82E-17,BAK1/BCL2/BRAF/CCNA2/CCND1/CDK1/CDK4/CDKN1A/DHFR/EGFR/GPX1/HGF/HMOX1/IGF1/JAK2/JUN/PCNA/PKM/PTCH1/PTEN/TGFB1/THY1/TSPO/ANXA1/FLT3/GAP43/GFAP/IGFBP1/IL10/MAP2K1/NTRK3/PPARG/PPAT/RGN/SOX2/TNC,36,
GO:1903046,GO:1903046,meiotic cell cycle process,36/591,188/18493,3.06E-18,9.22E-17,3.82E-17,ATM/CCNE1/CDC25A/CDC25C/ERCC1/EREG/EXO1/FANCD2/HUS1/MLH1/MRE11/MSH6/PLK1/RAD1/RAD21/RAD50/RAD51/RAD51B/RAD51C/RPA2/SIRT2/SMC2/SPO11/ASPM/ATRX/CALR/CCNA1/CDC25B/CENPX/HSF1/HSPA2/MND1/MSH4/MSH5/PTTG1/RAD51D,36,
GO:0048017,GO:0048017,inositol lipid-mediated signaling,34/591,167/18493,3.65E-18,1.09E-16,4.53E-17,AGT/AKT1/ANGPT1/CAT/CSF3/DAB2IP/EGFR/ERBB2/GATA3/HGF/IGF1/IGF1R/IRS1/JAK2/KDR/KIT/PIK3C3/PTEN/PTK2/RHOA/SIRT1/SIRT2/SRC/TNF/ERBB3/FGFR1/FLT3/IER3/LEP/NTRK3/PDGFA/PIK3CB/PTPN13/SELP,34,
GO:0010952,GO:0010952,positive regulation of peptidase activity,36/591,189/18493,3.66E-18,1.09E-16,4.53E-17,BAK1/BAX/CASP1/CASP3/CASP8/CASP9/CAV1/CYCS/FAS/FASLG/IFI16/JAK2/LCK/MAPK14/MYC/PML/PSME4/RHOA/SIRT1/STAT3/TNF/CASP8AP2/DIABLO/EIF2AK3/FN1/HSF1/HSPD1/HSPE1/LYN/NLRP3/PIDD1/PPARG/RPS3/TNFRSF10A/TRAF2/XDH,36,
GO:0048660,GO:0048660,regulation of smooth muscle cell proliferation,34/591,168/18493,4.44E-18,1.32E-16,5.46E-17,AGT/AKT1/CDKN1A/CTNNB1/EGFR/EREG/HMOX1/IFNG/IGF1/IL6/ILK/JAK2/JUN/MDM2/MMP2/MMP9/MTOR/PRKDC/PTEN/PTGS2/SOD2/STAT1/TERT/TNF/XRCC5/DNMT1/FGF2/IL10/IL13/NOX1/P2RY6/PAK1/PPARG/XRCC6,34,
GO:0048659,GO:0048659,smooth muscle cell proliferation,34/591,170/18493,6.54E-18,1.92E-16,7.96E-17,AGT/AKT1/CDKN1A/CTNNB1/EGFR/EREG/HMOX1/IFNG/IGF1/IL6/ILK/JAK2/JUN/MDM2/MMP2/MMP9/MTOR/PRKDC/PTEN/PTGS2/SOD2/STAT1/TERT/TNF/XRCC5/DNMT1/FGF2/IL10/IL13/NOX1/P2RY6/PAK1/PPARG/XRCC6,34,
GO:1902749,GO:1902749,regulation of cell cycle G2/M phase transition,34/591,170/18493,6.54E-18,1.92E-16,7.96E-17,ATM/BABAM2/BRCA1/CCND1/CDC25A/CDC25C/CDK1/CDK2/CDK4/CHEK1/HSP90AA1/HUS1/MRE11/MSH6/NBN/NPM1/PLK1/RAD17/RAD21/RAD51B/RAD51C/TP53/CDC25B/CDC6/CEP164/CETN2/CHMP4C/HSPA2/NEK2/PAXIP1/RECQL4/TOPBP1/TPX2/UIMC1,34,
GO:0048146,GO:0048146,positive regulation of fibroblast proliferation,21/591,55/18493,8.49E-18,2.48E-16,1.03E-16,AGT/BMI1/CCNA2/CDK4/CDKN1A/E2F1/EGFR/EREG/ESR1/IGF1/JUN/LIG4/MYC/PML/PRKDC/TGFB1/CDC6/FN1/IL13/PDGFA/S100A6,21,
GO:0042136,GO:0042136,neurotransmitter biosynthetic process,27/591,102/18493,8.86E-18,2.57E-16,1.07E-16,ACHE/AGT/AKT1/CAV1/CLU/HBB/HSP90AA1/ICAM1/IFNG/IL1B/JAK2/KLRK1/KLRC4-KLRK1/MTOR/NOS2/NQO1/PTGS2/PTK2B/RAC1/TNF/TSPO/CD36/DNM2/IL10/NOS3/RGN/TLR4,27,
GO:0042542,GO:0042542,response to hydrogen peroxide,31/591,141/18493,1.10E-17,3.18E-16,1.32E-16,ABL1/APEX1/BAK1/BCL2/CASP3/CAT/CDK1/GPX1/HBB/HGF/HMOX1/IL6/JUN/MDM2/NQO1/PCNA/PTK2B/RHOB/SIRT1/SOD1/SRC/STAT1/ANXA1/DUSP1/FOXO3/HSF1/HSPD1/IL10/LDHA/RPS3/TXN,31,
GO:0031571,GO:0031571,mitotic G1 DNA damage checkpoint,22/591,63/18493,1.33E-17,3.81E-16,1.58E-16,ATM/BAX/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/RPA2/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1,22,
GO:0044819,GO:0044819,mitotic G1/S transition checkpoint,22/591,63/18493,1.33E-17,3.81E-16,1.58E-16,ATM/BAX/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/RPA2/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1,22,
GO:0000724,GO:0000724,double-strand break repair via homologous recombination,29/591,123/18493,1.66E-17,4.73E-16,1.96E-16,BRCA1/BRCA2/CHEK1/H2AFX/HUS1/MRE11/NBN/PARP1/RAD50/RAD51/RAD51B/RAD51C/RAD52/RBBP8/RECQL/RIF1/RPA1/RPA2/SETD2/TP53BP1/XRCC1/FEN1/LIG3/PALB2/POLQ/RAD51D/RECQL4/WRN/XRCC3,29,
GO:0001667,GO:0001667,ameboidal-type cell migration,55/591,456/18493,1.73E-17,4.89E-16,2.02E-16,ABL1/AGO2/AGT/AKT1/ANGPT1/APOE/BRAF/CD40/DAB2IP/EGR3/GATA3/GDNF/GPX1/HIF1A/HMOX1/HSPB1/IFNG/ILK/ITGB1/JUN/KDR/KIT/MMP9/MTOR/PML/PTEN/PTGS2/PTK2/PTK2B/RET/RHOA/RHOB/SIRT1/SP1/SRC/TGFB1/TIMP1/VEGFA/ACVRL1/ADAM17/ANXA1/CALR/CRB2/FGF2/FGF4/FGFR1/IL4/NOS3/PAK1/PAXIP1/PPARG/PRKCA/PRKCE/PXN/SHH,55,
GO:0044783,GO:0044783,G1 DNA damage checkpoint,22/591,64/18493,1.97E-17,5.54E-16,2.29E-16,ATM/BAX/CCND1/CDC25C/CDK1/CDK2/CDKN1A/CHEK2/E2F1/GADD45A/MDM2/PCNA/PML/PRKDC/RPA2/TP53/CASP2/E2F4/EP300/GML/PIDD1/TNKS1BP1,22,
GO:0000725,GO:0000725,recombinational repair,29/591,124/18493,2.10E-17,5.90E-16,2.44E-16,BRCA1/BRCA2/CHEK1/H2AFX/HUS1/MRE11/NBN/PARP1/RAD50/RAD51/RAD51B/RAD51C/RAD52/RBBP8/RECQL/RIF1/RPA1/RPA2/SETD2/TP53BP1/XRCC1/FEN1/LIG3/PALB2/POLQ/RAD51D/RECQL4/WRN/XRCC3,29,
GO:0033135,GO:0033135,regulation of peptidyl-serine phosphorylation,30/591,135/18493,2.71E-17,7.54E-16,3.12E-16,AKT1/ANGPT1/BAK1/BAX/BCL2/BRAF/CAV1/CSF3/EGFR/GCG/HGF/HSP90AA1/IFNA13/IFNB1/IFNG/IL6/PTGS2/RAF1/RET/TGFB1/TNF/VEGFA/DDIT4/IL11/NTRK3/PAK1/TBK1/TNKS1BP1/TXN/UCN,30,
